true_negative,false_positive,false_negative,true_positive,iou,dice,hd,hd95,filename
176290,239,6846,78769,0.9174761804924639,0.9569622713715581,20.615528106689453,14.764822959899902,ISIC_0010171.png
216648,1917,1128,42451,0.9330710392122384,0.9653768747086313,13.601470947265625,9.0,ISIC_0000201.png
238675,296,1421,21752,0.9268396608291789,0.9620309148404502,11.0,8.0,ISIC_0000357.png
127939,5806,1581,126818,0.9449573413807235,0.971699811893971,24.0,14.764822959899902,ISIC_0000161.png
211257,20,2967,47900,0.941301314677619,0.9697632279550953,11.0,7.211102485656738,ISIC_0000057.png
87315,19754,4653,150422,0.8603950145570815,0.9249594928224664,68.88395690917969,56.65635299682617,ISIC_0011363.png
196519,4036,905,60684,0.9247085714285714,0.9608816473885471,23.194826126098633,13.928388595581055,ISIC_0000020.png
253837,524,211,7572,0.911520404478151,0.9537124504061969,6.0,4.123105525970459,ISIC_0001242.png
194086,4,14330,53724,0.789385524111787,0.8822978765334778,42.01190185546875,37.0,ISIC_0000200.png
251354,2334,166,8290,0.768303985171455,0.8689727463312369,16.0,13.34166431427002,ISIC_0010456.png
250990,683,402,10069,0.9027254796485565,0.9488762191961552,11.180339813232422,7.6157732009887695,ISIC_0002871.png
169595,1616,1989,88944,0.9610476612389113,0.9801369749797513,12.206555366516113,6.4031243324279785,ISIC_0010599.png
21623,2421,11241,226859,0.9431983070085357,0.9707689674354915,251.0,175.0,ISIC_0010588.png
104903,21910,5977,129354,0.8226480370895631,0.902695441302186,93.08598327636719,47.64241409301758,ISIC_0010846.png
152288,3077,3344,103435,0.941550757355083,0.9698955886558739,25.0,11.401754379272461,ISIC_0000380.png
175495,3922,5417,77310,0.8922203372225876,0.9430406382083326,25.05992889404297,21.540658950805664,ISIC_0009920.png
219131,4013,117,38883,0.9039825169134913,0.9495701865780991,15.0,10.630146026611328,ISIC_0010033.png
254039,325,201,7579,0.935101789019124,0.9664626370823769,5.0,3.0,ISIC_0008507.png
173820,6583,276,81465,0.9223427381006295,0.9596028011237477,36.619667053222656,19.08924102783203,ISIC_0009906.png
246095,1067,177,14805,0.9224873823914262,0.9596810786283788,12.727922439575195,7.071067810058594,ISIC_0011168.png
47782,2314,6618,205430,0.9583321670818522,0.9787227960513778,175.0,88.0,ISIC_0010477.png
173066,6156,1334,81588,0.9159163878847751,0.9561131098168352,35.12833786010742,15.0,ISIC_0000196.png
58882,29888,2110,171264,0.8425775599964578,0.9145640089072588,113.0,54.08327102661133,ISIC_0011349.png
149235,207,16093,96609,0.855635954618321,0.9222023883389494,30.01666259765625,25.0,ISIC_0011104.png
223611,0,12741,25792,0.66934835076428,0.8019277108433734,33.0,26.199209213256836,ISIC_0009977.png
108080,859,14368,138837,0.9011644511371898,0.9480131512012592,117.0,34.300048828125,ISIC_0011149.png
233996,855,1124,26169,0.9296930510160579,0.9635657344845997,9.486832618713379,7.0,ISIC_0009945.png
174110,4677,2834,80523,0.9146806915509916,0.9554394062542642,32.0,19.0209903717041,ISIC_0000407.png
216916,1360,2028,41840,0.9250906518086142,0.9610878853310056,18.384777069091797,8.5440034866333,ISIC_0000518.png
253511,204,361,8068,0.934553457662458,0.9661696904376983,5.830951690673828,3.0,ISIC_0005000.png
66340,872,11628,183304,0.9361606504463648,0.9670278654103843,115.0,31.672449111938477,ISIC_0010062.png
75640,625,7688,178191,0.9554272294428001,0.9772056101674002,22.472204208374023,14.764822959899902,ISIC_0000195.png
243970,1107,430,16637,0.9154286343127545,0.9558472896498234,10.29563045501709,6.0,ISIC_0008116.png
129328,20181,13200,99435,0.7486673292374413,0.8562718782696307,75.23961639404297,52.97969055175781,ISIC_0010193.png
